StationID,StationLatitude,StationLongitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),Vs30,CoastalPlainsSedThick
'''''''LD.ACCN.BH''''''',43.3843,-73.6678,-0.56283632,-0.333835498,-0.411613921,-0.521075428,-0.609456009,-0.690065178,-0.473776583,-0.360197996,-0.472168703,-0.490792979,-0.519990277,-0.484111915,-0.445127846,-0.479800392,-0.446644901,-0.415047264,-0.462784656,-0.465287625,-0.531911817,-0.584652226,-0.603556733,-0.636438711,-0.655635986,899.4989,NaN
'''''''LD.ALLY.BH''''''',41.6492,-80.1448,-0.151949959,-0.499411072,-0.384249584,-0.370270464,-0.410847815,-0.446471101,-0.425334976,-0.228527728,0.005231333,0.23636737,0.241106716,0.255350665,0.427151749,0.402722796,0.406703299,0.341807574,0.278789442,0.267986071,0.309016161,0.252517794,0.247892807,0.238211223,0.204582162,899.7379,NaN
'''''''LD.BMNY.BH''''''',44.83987,-74.5065,-0.334441224,-0.617652247,-0.572351533,-0.596133606,-0.541917,-0.484850196,-0.142214481,-0.138486755,-0.108838225,-0.073692038,0.043778073,0.123951694,0.167335314,0.093073626,0.032610231,-0.023823793,-0.051383794,-0.066954594,-0.051285412,-0.023168017,-0.050832476,-0.096557607,-0.124208412,511.3743,NaN
'''''''LD.BRNJ.BH''''''',40.6827,-74.56574,-0.620300688,-0.66771693,-0.722578235,-0.787556359,-0.838011571,-0.882934783,-0.787033747,-0.602099037,-0.534022943,-0.5202448,-0.41900177,-0.300807258,-0.04084447,0.005715505,0.065896887,0.069321888,-0.076254624,-0.061355332,-0.150415814,-0.164958932,-0.160028562,-0.241627855,-0.291932776,366.6755,NaN
'''''''LD.BRNY.BH''''''',41.41404,-74.01189,-0.724030611,-0.131084827,-0.244382187,-0.332694322,-0.406957938,-0.477349554,-0.605354431,-0.643207848,-0.727822487,-0.771719798,-0.776923673,-0.70925155,-0.549163501,-0.462265343,-0.362051725,-0.492176794,-0.423979874,-0.495284851,-0.455271985,-0.550036233,-0.564295433,-0.629587792,-0.676002662,900,NaN
'''''''LD.CCNY.BH''''''',42.92732,-78.8551,-0.24497775,-0.621468947,-0.480154557,-0.432720191,-0.38535232,-0.35340455,-0.060651058,0.041898587,-0.053132149,-0.254461742,-0.39180232,-0.340047769,-0.320938842,-0.313395604,-0.403136079,-0.350100008,-0.294840952,-0.27093087,-0.336543807,-0.330329817,-0.348315453,-0.381875318,-0.400137468,323.6018,NaN
'''''''LD.CPNY.BH''''''',40.7911,-73.9602,-0.944563314,-1.306261696,-1.172688545,-1.145402921,-1.179698117,-1.210975917,-1.194312698,-1.074266449,-0.813967227,-0.777895964,-0.702767574,-0.628357922,-0.441655226,-0.428787912,-0.343192529,-0.338127721,-0.33876507,-0.357662567,-0.3696198,-0.395637708,-0.449643684,-0.539357982,-0.570319047,522.8529,NaN
'''''''LD.FLET.HH''''''',44.7225,-72.95215,-0.565656801,-0.794569345,-0.778530142,-0.655756684,-0.607577173,-0.563645999,-0.573970727,-0.590352643,-0.52734885,-0.502779929,-0.467140844,-0.405725472,-0.333455958,-0.232802047,-0.216766816,-0.224393776,-0.192572456,-0.228396598,-0.282698652,-0.28381231,-0.290776124,-0.321937621,-0.350701268,900,NaN
'''''''LD.FMPA.HH''''''',40.0478,-76.3208,-0.736630154,-1.113181394,-0.919491527,-0.669099687,-0.619257424,-0.58170117,-0.798530352,-0.928089841,-0.969258064,-0.984634877,-0.942906849,-0.930621752,-0.923460903,-0.831449666,-0.695920807,-0.656004353,-0.812903083,-0.861240633,-0.945415783,-0.901338646,-0.867019312,-0.844479021,-0.845613194,369.8622,NaN
'''''''LD.FOR.BH''''''',40.8603,-73.8852,-0.053139426,-0.443593155,-0.302413073,-0.274187584,-0.308710897,-0.340602553,-0.347819779,-0.178581653,0.089268899,0.123703324,0.179932329,0.214758665,0.223835535,0.268985135,0.400551649,0.384782554,0.334209241,0.39414965,0.32262713,0.324687611,0.313894945,0.270167794,0.251526584,303.8452,NaN
