Latitude,Longitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),N
37,-104,0.117154673,0.12165701,0.120413414,0.118602491,0.115496501,0.112241205,0.106161105,0.11479617,0.125578143,0.141134215,0.149264138,0.156519091,0.160398566,0.166758342,0.163052455,0.152191874,0.142049507,0.132191241,0.134060741,0.131475159,0.120134851,0.117081618,0.126480376,23
37,-98,0.084361594,0.095519696,0.101740712,0.104079368,0.102949879,0.100156375,0.086378551,0.078551607,0.068562893,0.065885728,0.064037396,0.064374787,0.071138774,0.078805481,0.089630474,0.099491962,0.104128584,0.109177685,0.117283678,0.113582423,0.106091277,0.091306794,0.08554385,24
37,-96,0.211031598,0.283947154,0.320789151,0.303476444,0.290849366,0.273582863,0.209057683,0.172916252,0.140393112,0.12538174,0.15434522,0.178462629,0.182637616,0.203384904,0.309907367,0.341849954,0.183342026,0.259048015,0.282348938,0.165015621,0.087197079,0.124107307,0.211556952,25
37,-92,0.466068028,0.309624708,0.367508716,0.400157609,0.426848219,0.446619889,0.498140696,0.524524479,0.56026183,0.552368018,0.498565376,0.43278912,0.342622092,0.234622452,0.164702456,0.143398463,0.16785696,0.212756803,0.22950802,0.243787102,0.259077274,0.27662546,0.287522585,26
37,-90,0.151697445,0.20089436,0.191236521,0.186286578,0.19934959,0.199844141,0.199682914,0.203122599,0.173077224,0.152738135,0.137208794,0.13450143,0.132117853,0.1410817,0.152294294,0.160931858,0.171613671,0.169807891,0.163967643,0.169492826,0.182837486,0.214414654,0.226875076,27
37,-88,0.468438932,0.5750965,0.538077494,0.533986041,0.564560794,0.575220989,0.644003575,0.726117235,0.60954723,0.562180322,0.514224111,0.484458381,0.450398742,0.471296751,0.454033619,0.467447959,0.365698611,0.352667881,0.338939662,0.366267874,0.427253492,0.613344968,0.733372305,28
37,-84,0.043389774,0.01553678,0.007754529,0.019709376,0.033084222,0.043167362,0.05269157,0.071522556,0.037519065,0.0731618,0.148051359,0.199936479,0.282498809,0.347083276,0.453939568,0.466362487,0.448717435,0.389614059,0.336906928,0.365309678,0.394690807,0.449211859,0.472856911,29
37,-78,0.059900298,0.087257195,0.082760662,0.073189576,0.083684279,0.088191234,0.044018688,0.018018403,0.036132567,0.043959646,0.047516919,0.065706824,0.113004033,0.144408975,0.172909812,0.169525806,0.170820272,0.188252336,0.210254859,0.225580685,0.224309171,0.173468807,0.174101221,31
37,-62,0.218137331,0.037048731,0.101102782,0.190696583,0.190501884,0.19093333,0.206213324,0.259737273,0.290419875,0.104996553,0.057613871,0.021921227,0.049661366,0.075774793,0.015482901,0.183748011,0.11360008,0.062917075,0.012349755,0.013378844,0.012786533,0.007860306,0.011852576,33
39,-100,0.146025171,0.116256887,0.132477055,0.144555748,0.151892307,0.159745083,0.159606673,0.21168952,0.172405439,0.179804929,0.182349952,0.191304832,0.22486884,0.242878448,0.223922483,0.183259569,0.145027765,0.124250637,0.098503446,0.143974931,0.170850134,0.14067984,0.200660375,34
