StationID,StationLatitude,StationLongitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),Vs30,CoastalPlainsSedThick
'''''''6E.WB22.BH''''''',38.4687,-88.0584,0.220531223,0.246638121,0.246311217,0.244166134,0.244253589,0.243718431,0.237889789,0.238847009,0.227516098,0.220165828,0.218518474,0.215546661,0.206598055,0.200112779,0.183246447,0.171196007,0.161961312,0.148428763,0.147680239,0.150122288,0.151383621,0.153683356,0.158478854,398.8534,NaN
'''''''6E.WB23.BH''''''',38.4484,-88.0047,0.210268271,0.235160221,0.23484853,0.232803275,0.232886659,0.232376407,0.226819014,0.227731687,0.216928088,0.20991988,0.20834919,0.205515678,0.196983517,0.190800049,0.174718632,0.163228988,0.154424052,0.141521273,0.140807583,0.143135986,0.144338619,0.14653133,0.151103658,379.8036,NaN
'''''''6E.WB24.BH''''''',38.4237,-87.9811,0.123280701,0.137874901,0.137692156,0.136493019,0.136541907,0.136242745,0.132984435,0.133519537,0.127185365,0.123076439,0.12215554,0.120494247,0.115491824,0.111866445,0.102437878,0.095701477,0.090539126,0.082974201,0.082555763,0.08392091,0.084626017,0.085911608,0.088592373,264.4188,NaN
'''''''6E.WB25.BH''''''',38.4007,-87.9108,0.159990164,0.178930099,0.178692938,0.177136732,0.177200178,0.176811934,0.172583392,0.173277832,0.165057525,0.159725079,0.158529963,0.156373983,0.149881982,0.145177069,0.132940946,0.124198637,0.117499086,0.107681542,0.107138506,0.108910155,0.109825222,0.111493625,0.114972645,391.9805,NaN
'''''''6E.WB26.BH''''''',38.3776,-87.8551,0.210268271,0.235160221,0.23484853,0.232803275,0.232886659,0.232376407,0.226819014,0.227731687,0.216928088,0.20991988,0.20834919,0.205515678,0.196983517,0.190800049,0.174718632,0.163228988,0.154424052,0.141521273,0.140807583,0.143135986,0.144338619,0.14653133,0.151103658,231.7894,NaN
'''''''6E.WB29.BH''''''',38.3151,-87.7142,0.201316542,0.22514877,0.224850349,0.222892166,0.222972001,0.222483471,0.217162672,0.218036491,0.207692831,0.200982984,0.199479162,0.196766281,0.188597359,0.182677139,0.167280355,0.156279858,0.147849774,0.135496303,0.134812997,0.137042273,0.138193707,0.140293068,0.144670739,570.7798,NaN
'''''''6E.WB30.BH''''''',38.2793,-87.6589,0.129500393,0.144830891,0.144638927,0.143379291,0.143430646,0.143116391,0.139693694,0.140255793,0.133602053,0.129285826,0.128318466,0.126573358,0.121318555,0.11751027,0.107606019,0.100529757,0.095106957,0.087160371,0.086720822,0.088154843,0.088895523,0.090245974,0.093061987,246.5943,NaN
'''''''6E.WB31.BH''''''',38.2538,-87.6154,0.193418677,0.216315942,0.216029228,0.214147866,0.214224569,0.213755205,0.208643147,0.209482684,0.199544818,0.193098205,0.19165338,0.189046928,0.181198481,0.175510518,0.160717766,0.150148831,0.142049468,0.130180637,0.129524138,0.131665957,0.132772219,0.13478922,0.13899515,273.3856,NaN
'''''''6E.WB34.BH''''''',38.1878,-87.4597,0.164374268,0.183833201,0.183589541,0.181990691,0.182055876,0.181656993,0.177312579,0.178026049,0.169580487,0.164101919,0.162874054,0.160658995,0.153989099,0.149155259,0.136583838,0.12760197,0.120718835,0.110632268,0.110074351,0.111894547,0.112834689,0.11454881,0.118123163,264.7415,NaN
'''''''6E.WB37.BH''''''',38.1201,-87.2862,0.193418677,0.216315942,0.216029228,0.214147866,0.214224569,0.213755205,0.208643147,0.209482684,0.199544818,0.193098205,0.19165338,0.189046928,0.181198481,0.175510518,0.160717766,0.150148831,0.142049468,0.130180637,0.129524138,0.131665957,0.132772219,0.13478922,0.13899515,328.8719,NaN
